Make,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,Vehicle Age
BMW,premium,335.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19,3916,46135,14
BMW,premium,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,19,3916,40650,14
BMW,premium,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,3916,36350,14
BMW,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,18,3916,29450,14
BMW,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,18,3916,34500,14
BMW,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,18,3916,31200,13
BMW,premium,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,26,17,3916,44100,13
BMW,premium,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,3916,39300,13
BMW,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,18,3916,36900,13
BMW,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,27,18,3916,37200,12
BMW,premium,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,3916,39600,12
BMW,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,19,3916,31500,12
BMW,premium,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,19,3916,44400,12
BMW,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,19,3916,37200,12
BMW,premium,320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,25,18,3916,48250,12
BMW,premium,320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,3916,43550,12
Audi,regular,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24,17,3105,2000,33
