Make,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,Popularity,MSRP,Vehicle Age,average_mpg
BMW,premium,335.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,3916,46135,14,22.5
BMW,premium,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,3916,40650,14,23.5
BMW,premium,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,3916,36350,14,24.0
BMW,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,3916,29450,14,23.0
BMW,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,3916,34500,14,23.0
BMW,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,3916,31200,13,23.0
BMW,premium,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,3916,44100,13,21.5
BMW,premium,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,3916,39300,13,24.0
BMW,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,3916,36900,13,23.0
BMW,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,3916,37200,12,22.5
BMW,premium,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,3916,39600,12,24.0
BMW,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,3916,31500,12,23.5
BMW,premium,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,3916,44400,12,23.5
BMW,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,3916,37200,12,23.5
BMW,premium,320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,3916,48250,12,21.5
BMW,premium,320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,3916,43550,12,24.0
Audi,regular,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,3105,2000,31,18.5
Audi,regular,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,3105,2000,31,19.0
Audi,regular,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,3105,2000,31,19.5
Audi,regular,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,3105,2000,31,19.0
Audi,regular,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,3105,2000,31,18.5
FIAT,premium,160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,819,27495,8,30.5
FIAT,premium,160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,819,24995,8,30.5
FIAT,premium,160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,819,28195,8,30.5
BMW,premium,240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,3916,32850,9,29.0
BMW,premium,240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,3916,38650,9,28.5
BMW,premium,320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,3916,48750,9,25.5
BMW,premium,240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,3916,34850,9,29.0
BMW,premium,240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,3916,40650,9,28.0
BMW,premium,320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,3916,44150,9,25.5
BMW,premium,240.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,3916,32850,9,28.0
BMW,premium,320.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,3916,46150,9,25.0
BMW,premium,320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,3916,50750,9,25.0
BMW,premium,335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,3916,46450,8,26.0
BMW,premium,335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,3916,49050,8,26.5
BMW,premium,335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,3916,51050,8,26.5
BMW,premium,335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,3916,44450,8,26.5
BMW,premium,248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,3916,38950,8,28.5
BMW,premium,248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,3916,33150,8,29.5
BMW,premium,248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,3916,35150,8,28.5
BMW,premium,248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,3916,40950,8,28.0
Chrysler,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,1013,25170,10,29.5
Chrysler,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,1013,23950,10,29.5
Chrysler,flex-fuel,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,1013,29370,10,23.5
Chrysler,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,1013,21995,10,29.5
Chrysler,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,1013,26625,10,29.5
Chrysler,flex-fuel,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,1013,30825,10,23.5
Chrysler,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,1013,21995,9,29.5
Chrysler,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,1013,27795,9,29.5
Chrysler,flex-fuel,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,1013,31785,9,23.5
Chrysler,flex-fuel,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,1013,29905,9,23.5
Chrysler,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,1013,22490,9,29.5
